Tamanho da entrada,Tempo de CPU ( para as 50 instancias )
32,0.0002903938293457031
32,0.0002865791320800781
64,0.0006070137023925781
64,0.0006041526794433594
128,0.0013570785522460938
128,0.0013408660888671875
192,0.002222776412963867
192,0.0022215843200683594
256,0.0032677650451660156
256,0.003271341323852539
